037120284,http://www.verreriebiot.com/,Apache
062200225,http://l-abeille.fr/,Apache
063805527,http://www.tisane-provencale.com/,IIS
071501803,http://www.gea.fr/,Apache
095750097,http://www.champagne-vollereaux.fr/,Apache
130011299,http://corse.direccte.gouv.fr/,
172000051,http://bastia.tribunal-administratif.fr/,
182800037,http://www.eure-et-loir.chambagri.fr/,Nginx
187600069,http://www.cma76.fr/,Apache
189733025,http://www.guyane.cci.fr/,Nginx
190109751,http://collegejacquesprevert.blogspot.com/#!,OpenGSE
190215236,http://lpa-aumont.lyc.ac-amiens.fr/,Apache
