005520242,http://prospa.fr/,Apache
036520153,http://www.record-france.fr/,Apache
047120324,http://agence-du-golfe.com/,Apache
072503097,http://nocente.fr/,Apache
073501033,https://saint-martin-heres.cimm.com/,Nginx
076720382,http://www.martoia.fr/,Apache
085820637,http://minoteriebatigne.fr/,Apache
095750287,http://www.fromagerie-lincet.net/,Nginx
130007990,http://www.ars.corse.sante.fr/,
171401110,http://www.ca-caen.justice.fr/,Apache
172010019,http://www.corse-du-sud.gouv.fr/,Apache
184500130,http://www.centre.chambagri.fr/,Nginx
186409124,http://www.mintzaira.fr/,Apache
187500053,http://www.cma-paris.fr/,Apache
187800040,http://www.versailles.cci.fr/,
188822043,http://www.cma-vosges.fr/,IIS
190110700,http://antoinechintreuil.colleges.ain.fr/,Apache
190400556,https://centrejeangiono.com/,Apache
190616755,http://www.clg-rabelais-beynes.ac-versailles.fr/,
